WKT,id,photoURL,lat,long,rubbishRunID,userName,rubbishType,city,totalNumberOfItemsTagged,datetime,date,Mile,dist_m,Morphology,Brand,Survey Type,Data Cleaning Notes
"POINT (-118.2513691 34.4181778)",jwPyIXkOiP6h5thSHtdn,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FjwPyIXkOiP6h5thSHtdn.jpg?alt=media&token=3845dc80-6474-4dd3-b1e3-f6f45a28bf66,34.4181778,-118.2513691,ScXjecrIczA3jtKqnuVN,macygustavus,plastic rubber,Acton,1.0,2023-05-02T17:01:16.468237Z,5/2/2023,440.0,148.3176747,Hiking Pole Tip,,,
"POINT (-118.2510519 34.4181622)",jqt2bux2aZ2Yu1qCxuCh,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fjqt2bux2aZ2Yu1qCxuCh.jpg?alt=media&token=7db11340-59ce-4898-af96-9a1c5bebe7df,34.4181622,-118.2510519,ScXjecrIczA3jtKqnuVN,macygustavus,hard plastic,Acton,1.0,2023-05-02T16:58:18.576977Z,5/2/2023,440.0,123.6659686,Bottle Cap,,,
"POINT (-118.1906245 34.3817461)",M5393SZj3SrdsJk1DXS1,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FM5393SZj3SrdsJk1DXS1.jpg?alt=media&token=38c29106-8946-4292-8f22-8d987a05bad5,34.3817461,-118.1906245,39F5cTk9fnXm49USTuqr,macygustavus,soft plastic,Acton,1.0,2023-05-02T01:45:39.617196Z,5/2/2023,430.0,718.0428693,Fragment,,,
"POINT (-118.1879851 34.3808206)",areAFU1l0wZyDfdTeq3k,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FareAFU1l0wZyDfdTeq3k.jpg?alt=media&token=09928d49-f8f4-4319-8530-c27282bbeb72,34.3808206,-118.1879851,39F5cTk9fnXm49USTuqr,macygustavus,hard plastic,Acton,1.0,2023-05-02T01:42:03.633047Z,5/2/2023,430.0,455.6128591,Fragment,,,
"POINT (-118.095463 34.3994292)",gyxmUXspYK57XTFn2kBt,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FgyxmUXspYK57XTFn2kBt.jpg?alt=media&token=60715388-2969-438f-be84-251a9496746a,34.3994292,-118.095463,NVfbERzH2xI0Niu8qabD,macygustavus,soft plastic,Palmdale,1.0,2023-05-01T21:12:14.167665Z,5/1/2023,420.0,513.5373529,Fragment,,,
"POINT (-118.0954078 34.39941505)",qL20WoUOgfp2bYw6Unz0,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FqL20WoUOgfp2bYw6Unz0.jpg?alt=media&token=daa70c54-06d4-42de-b488-0fbd72bb0774,34.39941505,-118.0954078,NVfbERzH2xI0Niu8qabD,macygustavus,soft plastic,Palmdale,1.0,2023-05-01T21:11:38.425395Z,5/1/2023,420.0,509.5695958,,,,
"POINT (-118.0901522 34.4010245)",8H7WcVcMDhrAlgwqJ6IT,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F8H7WcVcMDhrAlgwqJ6IT.jpg?alt=media&token=46ee051a-2398-4485-83e2-b58008191795,34.4010245,-118.0901522,NVfbERzH2xI0Niu8qabD,macygustavus,soft plastic,Palmdale,1.0,2023-05-01T21:01:45.409897Z,5/1/2023,420.0,37.75002188,Fragment,,,
"POINT (-118.0230629 34.3779662)",XJDbOKiTPNDxp62Uv2mZ,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FXJDbOKiTPNDxp62Uv2mZ.jpg?alt=media&token=23746411-c531-4777-95d7-a15b05ccee26,34.3779662,-118.0230629,10F9ewdDB8b7n5pBqvhA,macygustavus,soft plastic,Palmdale,1.0,2023-05-01T16:31:53.238971Z,5/1/2023,410.0,691.8438579,Package End,,,
"POINT (-118.0204334 34.3723313)",l3aTMNN1BUH6Skrg8cjV,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fl3aTMNN1BUH6Skrg8cjV.jpg?alt=media&token=75175a0d-4ed2-48db-866c-c60aaf68ffa7,34.3723313,-118.0204334,10F9ewdDB8b7n5pBqvhA,macygustavus,otherLitter,Palmdale,1.0,2023-05-01T16:18:04.728388Z,5/1/2023,410.0,21.89987545,Battery,Sunbeam,,
"POINT (-118.0204145 34.3720034)",BRYE1oOQPso4x3cEexeY,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FBRYE1oOQPso4x3cEexeY.jpg?alt=media&token=c83d3433-5cb0-4d0e-95f6-27d6b70c758c,34.3720034,-118.0204145,10F9ewdDB8b7n5pBqvhA,macygustavus,metal,Palmdale,1.0,2023-05-01T16:16:42.881357Z,5/1/2023,410.0,14.69351629,Can,,,
"POINT (-117.9561179 34.3508855)",Piftyhf5aZ3iOHZ83PVj,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FPiftyhf5aZ3iOHZ83PVj.jpg?alt=media&token=dbe1a944-9b93-4850-a1d1-8f8e892b8dc6,34.3508855,-117.9561179,4BVg2gT0vDIskdh4lGtH,notracetrails,metal,Pearblossom,1.0,2023-04-30T22:29:42.574974Z,4/30/2023,400.0,654.9307744,Can,,,
"POINT (-117.9552703 34.3503824)",09tkbT6ZCm4KqsrgUXp4,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F09tkbT6ZCm4KqsrgUXp4.jpg?alt=media&token=4eeb9db3-5f07-48f9-9814-a50295b1bc1e,34.3503824,-117.9552703,4BVg2gT0vDIskdh4lGtH,notracetrails,glass,Pearblossom,1.0,2023-04-30T22:27:48.210557Z,4/30/2023,400.0,560.6609948,Fragment,,,
"POINT (-117.954356 34.3499131)",eX58HDRc8izH8iR5pSyq,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FeX58HDRc8izH8iR5pSyq.jpg?alt=media&token=be2c3b39-0527-43c4-9c86-f84b3754a9e4,34.3499131,-117.954356,4BVg2gT0vDIskdh4lGtH,notracetrails,metal,Pearblossom,1.0,2023-04-30T22:25:31.352855Z,4/30/2023,400.0,462.8080458,Bullet Case,,,
"POINT (-117.9542371 34.3498247)",xqraC9KIXrVd7wYzDhMu,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FxqraC9KIXrVd7wYzDhMu.jpg?alt=media&token=04e8bc01-6ec3-4c2c-b445-82b448ef7af3,34.3498247,-117.9542371,4BVg2gT0vDIskdh4lGtH,notracetrails,glass,Pearblossom,1.0,2023-04-30T22:25:09.047891Z,4/30/2023,400.0,448.9455259,Fragment,,,
"POINT (-117.9542473 34.349831)",diDLjZRikZb6p5ShwO0B,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FdiDLjZRikZb6p5ShwO0B.jpg?alt=media&token=dfe1d44d-5362-4b0b-8fc5-fb8963a83f00,34.349831,-117.9542473,4BVg2gT0vDIskdh4lGtH,notracetrails,glass,Pearblossom,1.0,2023-04-30T22:25:03.045841Z,4/30/2023,400.0,450.072547,Fragment,,,
"POINT (-117.9528219 34.3497394)",CjykZf3Kq0f13NZLujcx,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FCjykZf3Kq0f13NZLujcx.jpg?alt=media&token=f5d865c9-363b-492b-8604-78c3e302b20b,34.3497394,-117.9528219,4BVg2gT0vDIskdh4lGtH,notracetrails,plastic rubber,Pearblossom,1.0,2023-04-30T22:22:41.516847Z,4/30/2023,400.0,327.7118276,Fragment,,,
"POINT (-117.9524933 34.3495244)",ez5FRc8f9OKk0nKb8yLP,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fez5FRc8f9OKk0nKb8yLP.jpg?alt=media&token=1c764fbf-509f-48f7-bca5-a94ca73a7bac,34.3495244,-117.9524933,4BVg2gT0vDIskdh4lGtH,notracetrails,glass,Pearblossom,1.0,2023-04-30T22:21:31.925832Z,4/30/2023,400.0,289.7443693,Fragment,,,
"POINT (-117.9515884 34.349378)",dc2k4IC9reos3TmY4eUN,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fdc2k4IC9reos3TmY4eUN.jpg?alt=media&token=72e2b206-ff63-4673-a725-8f1722ee167c,34.349378,-117.9515884,4BVg2gT0vDIskdh4lGtH,notracetrails,wood,Pearblossom,1.0,2023-04-30T22:20:02.233300Z,4/30/2023,400.0,210.3834538,Lumber,,,
"POINT (-117.9516538 34.3493063)",tfKu6vWObGRBbGmGT0pa,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FtfKu6vWObGRBbGmGT0pa.jpg?alt=media&token=a47249c1-4b7d-488c-a598-3dffd22feb10,34.3493063,-117.9516538,4BVg2gT0vDIskdh4lGtH,notracetrails,hard plastic,Pearblossom,1.0,2023-04-30T22:19:33.427688Z,4/30/2023,400.0,210.9385845,Cap,,,
"POINT (-117.9498327 34.3481615)",2q7eOKBznOkCjNZP4OqG,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F2q7eOKBznOkCjNZP4OqG.jpg?alt=media&token=0b777b84-6168-41e2-b967-6c7ee10c15b6,34.3481615,-117.9498327,4BVg2gT0vDIskdh4lGtH,notracetrails,soft plastic,Pearblossom,1.0,2023-04-30T22:15:51.863557Z,4/30/2023,400.0,17.85758421,Fragment,,,
"POINT (-117.9495013 34.3485522)",yDfZed8pF8rnuRmybz8M,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FyDfZed8pF8rnuRmybz8M.jpg?alt=media&token=6e7dcd7e-e9d0-4292-ae7e-df83b32ac90e,34.3485522,-117.9495013,4BVg2gT0vDIskdh4lGtH,notracetrails,hard plastic,Pearblossom,1.0,2023-04-30T22:14:50.888074Z,4/30/2023,400.0,35.20260976,Fragment,,,
"POINT (-117.949504 34.3486322)",wfVReleBmBN3WHngBmSh,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FwfVReleBmBN3WHngBmSh.jpg?alt=media&token=4b271c58-2dc7-498e-88e8-244ca9405d46,34.3486322,-117.949504,4BVg2gT0vDIskdh4lGtH,notracetrails,ceramic,Pearblossom,1.0,2023-04-30T22:14:23.300226Z,4/30/2023,400.0,42.7711275,Fragment,,,
"POINT (-117.9569262 34.351627)",gpDnetNczLJvaTh9Rr1W,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FgpDnetNczLJvaTh9Rr1W.jpg?alt=media&token=ed342d4e-eae6-4a9e-b958-e67d46f9abaf,34.351627,-117.9569262,V10CfgbGv070D8P7yWNu,notracetrails,sanitary waste,Pearblossom,1.0,2023-04-30T21:59:20.195397Z,4/30/2023,400.0,759.0141456,Toilet Paper,,,
"POINT (-117.9561269 34.350953)",bBWe0PAd9LAlWXVmrHE4,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FbBWe0PAd9LAlWXVmrHE4.jpg?alt=media&token=c0dced5f-f6e0-465d-9039-02d929cbc12e,34.350953,-117.9561269,V10CfgbGv070D8P7yWNu,notracetrails,glass,Pearblossom,1.0,2023-04-30T21:57:08.922435Z,4/30/2023,400.0,659.0126383,Fragment,,,
"POINT (-117.9560887 34.3508875)",a7GShTvvYLEV2rWx2CTA,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fa7GShTvvYLEV2rWx2CTA.jpg?alt=media&token=96b7882f-4405-4e7a-b7d5-1f8ed41463cb,34.3508875,-117.9560887,V10CfgbGv070D8P7yWNu,notracetrails,hard plastic,Pearblossom,1.0,2023-04-30T21:56:30.086749Z,4/30/2023,400.0,652.6253474,Fragment,,,
"POINT (-117.9558573 34.3505245)",CmoRTmTpN8BmjRjGQuAv,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FCmoRTmTpN8BmjRjGQuAv.jpg?alt=media&token=1fc6e8ca-0c1c-4778-876a-fd47b863fa27,34.3505245,-117.9558573,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:55:29.120028Z,4/30/2023,400.0,616.295085,Drink Can,Toddy,,
"POINT (-117.9557337 34.3504782)",0Aw6ycKM1aqS0LG8SJJ4,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F0Aw6ycKM1aqS0LG8SJJ4.jpg?alt=media&token=611201df-5dbc-42a0-af92-54bd6b1bb4a2,34.3504782,-117.9557337,V10CfgbGv070D8P7yWNu,notracetrails,glass,Pearblossom,1.0,2023-04-30T21:52:58.875843Z,4/30/2023,400.0,603.8321697,Fiberglass,,,
"POINT (-117.955796 34.3505099)",sSfS4UG2yLxqPSYRaTw9,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FsSfS4UG2yLxqPSYRaTw9.jpg?alt=media&token=0c0dc5b2-9ef9-46d1-9d92-779b869e87b1,34.3505099,-117.955796,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:52:32.351425Z,4/30/2023,400.0,610.4902366,Can,New Belgium,,
"POINT (-117.9558109 34.3505407)",YcnSNzSItlNThs9ELwhW,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FYcnSNzSItlNThs9ELwhW.jpg?alt=media&token=2eb480f5-7f2e-4dad-a071-1179acc770d5,34.3505407,-117.9558109,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:52:16.754837Z,4/30/2023,400.0,613.1370693,Can,,,
"POINT (-117.9557967 34.3505009)",XkllUM6BqjjQ9biEZ3B8,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FXkllUM6BqjjQ9biEZ3B8.jpg?alt=media&token=7de5900c-bdad-4501-914c-aa82429ec2f8,34.3505009,-117.9557967,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:52:09.022125Z,4/30/2023,400.0,610.1403384,Container,,,
"POINT (-117.9520291 34.3494919)",azbUcYtOcxRHiPKLTRuE,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FazbUcYtOcxRHiPKLTRuE.jpg?alt=media&token=00215c19-12be-4eb0-a3b7-c74afe49e02d,34.3494919,-117.9520291,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:45:35.880737Z,4/30/2023,400.0,251.095561,Can,,,
"POINT (-117.9511728 34.3491317)",xoFHYakAvlbj0gfAxqwM,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FxoFHYakAvlbj0gfAxqwM.jpg?alt=media&token=aba1bced-512a-4d3c-b653-eca3822dcc12,34.3491317,-117.9511728,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:43:48.549410Z,4/30/2023,400.0,163.4224351,Can,,,
"POINT (-117.9506776 34.348736)",fQXRE19Pl7Ufglwdqoz3,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FfQXRE19Pl7Ufglwdqoz3.jpg?alt=media&token=72310f85-32de-4e1b-bf59-5fb38645029a,34.348736,-117.9506776,V10CfgbGv070D8P7yWNu,notracetrails,glass,Pearblossom,1.0,2023-04-30T21:42:39.556402Z,4/30/2023,400.0,101.4338218,Fragment,,,
"POINT (-117.9506588 34.3487955)",ZYdjtAwdJmUvqQgHTgvA,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FZYdjtAwdJmUvqQgHTgvA.jpg?alt=media&token=83b06ad4-b6da-4c6b-8b6b-bffdd7917a92,34.3487955,-117.9506588,V10CfgbGv070D8P7yWNu,notracetrails,glass,Pearblossom,1.0,2023-04-30T21:42:16.697620Z,4/30/2023,400.0,103.3887864,Fragment,,,
"POINT (-117.950508 34.3487146)",DSgKiEdRleAva6M999BV,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FDSgKiEdRleAva6M999BV.jpg?alt=media&token=e39245a9-4e32-4184-b755-505c31bba58c,34.3487146,-117.950508,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:41:46.428384Z,4/30/2023,400.0,86.87056598,Fragment,,,
"POINT (-117.9504369 34.3487013)",y3xx821rbDqPVEfbnx6E,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fy3xx821rbDqPVEfbnx6E.jpg?alt=media&token=157e3039-047a-4ee8-9d99-3f6bf1b73b73,34.3487013,-117.9504369,V10CfgbGv070D8P7yWNu,notracetrails,soft plastic,Pearblossom,1.0,2023-04-30T21:41:31.669138Z,4/30/2023,400.0,80.62334974,Fragment,,,
"POINT (-117.9505653 34.3487427)",GPL77LR2GkRKiSo4gHgQ,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FGPL77LR2GkRKiSo4gHgQ.jpg?alt=media&token=0f7bde9f-07ce-4b79-ba75-55a799886494,34.3487427,-117.9505653,V10CfgbGv070D8P7yWNu,notracetrails,cloth,Pearblossom,1.0,2023-04-30T21:40:55.498392Z,4/30/2023,400.0,92.98869129,Fragment,,,
"POINT (-117.950012 34.3483709)",thdhLSdZ2I3S8kVlaRCG,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FthdhLSdZ2I3S8kVlaRCG.jpg?alt=media&token=a49b5247-90a0-43b2-905a-398e74437b31,34.3483709,-117.950012,V10CfgbGv070D8P7yWNu,notracetrails,hard plastic,Pearblossom,1.0,2023-04-30T21:39:22.522876Z,4/30/2023,400.0,28.79323917,Fragment,,,
"POINT (-117.9499679 34.3482617)",49RGrX2HOef7p3MFhF03,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F49RGrX2HOef7p3MFhF03.jpg?alt=media&token=3933a749-1a72-4a46-b17d-b32d34fcac67,34.3482617,-117.9499679,V10CfgbGv070D8P7yWNu,notracetrails,metal,Pearblossom,1.0,2023-04-30T21:37:59.414570Z,4/30/2023,400.0,23.46958724,Can,Seagram,,
"POINT (-117.9499436 34.3481681)",EfzUh5DMzk4QaSaExmlM,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FEfzUh5DMzk4QaSaExmlM.jpg?alt=media&token=3323293d-df6e-4708-8380-f8536aa138fe,34.3481681,-117.9499436,V10CfgbGv070D8P7yWNu,notracetrails,soft plastic,Pearblossom,1.0,2023-04-30T21:37:02.485094Z,4/30/2023,400.0,24.97287518,Fragment,,,
"POINT (-117.9499503 34.3482325)",EfI6SsqRHbq6E8JrAYEx,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FEfI6SsqRHbq6E8JrAYEx.jpg?alt=media&token=704deba6-97a3-4664-aba2-1538cb9cbcc9,34.3482325,-117.9499503,V10CfgbGv070D8P7yWNu,notracetrails,hard plastic,Pearblossom,1.0,2023-04-30T21:36:35.885538Z,4/30/2023,400.0,22.54840298,Fragment,,,
"POINT (-117.9498505 34.3481938)",AolZK4UlfGzyaSQWtREG,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FAolZK4UlfGzyaSQWtREG.jpg?alt=media&token=48ddb9a9-cecf-4fa4-9110-36b76b24909b,34.3481938,-117.9498505,V10CfgbGv070D8P7yWNu,notracetrails,hard plastic,Pearblossom,1.0,2023-04-30T21:35:10.808821Z,4/30/2023,400.0,16.37736317,Fragment,,,
"POINT (-117.9498915 34.3482072)",VOoVGF7whxcj0tL5H9rf,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FVOoVGF7whxcj0tL5H9rf.jpg?alt=media&token=4bd8b668-95a4-43f4-9fa7-e2441ccca232,34.3482072,-117.9498915,V10CfgbGv070D8P7yWNu,notracetrails,plastic foam,Pearblossom,1.0,2023-04-30T21:34:50.198308Z,4/30/2023,400.0,18.62399709,Fragment,,,
"POINT (-117.7945029 34.3544084)",68OLA1NNCBUtXgCiFPyJ,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F68OLA1NNCBUtXgCiFPyJ.jpg?alt=media&token=0701ab43-141f-46db-a159-21a00a3eabcf,34.3544084,-117.7945029,gZfBkw0Hx9NohnFwNG66,notracetrails,soft plastic,Valyermo,1.0,2023-04-29T21:31:30.578337Z,4/29/2023,380.0,323.9787607,Bandage,,,
"POINT (-117.7927278 34.3549069)",frJ3XbmDOf3y6F7hCBS5,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FfrJ3XbmDOf3y6F7hCBS5.jpg?alt=media&token=74536ef3-37fa-4671-9c58-53082bdfa3ed,34.3549069,-117.7927278,gZfBkw0Hx9NohnFwNG66,notracetrails,soft plastic,Valyermo,1.0,2023-04-29T21:26:06.674014Z,4/29/2023,380.0,153.5410522,Duck Tape,,,
"POINT (-117.7242059 34.3777602)",eJLI4gCmhmYbeRMe7vIq,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FeJLI4gCmhmYbeRMe7vIq.jpg?alt=media&token=6d2e1146-f2cd-466a-a3fe-f9838ae9d549,34.3777602,-117.7242059,vvjQOUfTi0pR3DReGodN,notracetrails,uncategorized,Llano,1.0,2023-04-29T01:23:28.070739Z,4/29/2023,370.0,751.9429348,,,,Error?
"POINT (-117.7169139 34.3742002)",1NOKWGjP2EHgncTyUxsd,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F1NOKWGjP2EHgncTyUxsd.jpg?alt=media&token=f1c00c92-cc0d-4705-be0b-354ec3f1faf8,34.3742002,-117.7169139,IBA8Xo4glUzJzG6fG3Ef,notracetrails,metal,Llano,1.0,2023-04-29T01:04:14.466450Z,4/29/2023,370.0,25.91598251,Fragment,,,
"POINT (-117.7169025 34.3742261)",PEuTsVfcegvLlNYAj7mM,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FPEuTsVfcegvLlNYAj7mM.jpg?alt=media&token=35188960-0c5b-4124-a9f0-bae67fdc9f3b,34.3742261,-117.7169025,IBA8Xo4glUzJzG6fG3Ef,notracetrails,soft plastic,Llano,1.0,2023-04-29T01:04:04.028188Z,4/29/2023,370.0,25.99687139,Lid,ICEE,,
"POINT (-117.7168733 34.3742266)",L3A2ibFMYP1wgnmtPXNM,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FL3A2ibFMYP1wgnmtPXNM.jpg?alt=media&token=349db92d-8600-4673-8119-7c6309f31395,34.3742266,-117.7168733,IBA8Xo4glUzJzG6fG3Ef,notracetrails,paper,Llano,1.0,2023-04-29T01:03:40.728010Z,4/29/2023,370.0,28.58002788,Fragment,,,
"POINT (-117.7168664 34.3742216)",Yfhf2nfBl25Nw1b8i7L0,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FYfhf2nfBl25Nw1b8i7L0.jpg?alt=media&token=fca4d937-9546-49ff-87a4-aa0441cc8dae,34.3742216,-117.7168664,IBA8Xo4glUzJzG6fG3Ef,notracetrails,metal,Llano,1.0,2023-04-29T01:03:18.622171Z,4/29/2023,370.0,29.33316227,Can,White Claw,,
"POINT (-117.7168762 34.3742619)",aeKgorEVbjWhJKuFO6za,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FaeKgorEVbjWhJKuFO6za.jpg?alt=media&token=e01130a6-d394-4995-bb4a-71caf5bebcda,34.3742619,-117.7168762,IBA8Xo4glUzJzG6fG3Ef,notracetrails,soft plastic,Llano,1.0,2023-04-29T01:03:03.775662Z,4/29/2023,370.0,27.67023359,Fragment,,,
"POINT (-117.7168549 34.3742627)",ctawR7vUVLluyllKeNEM,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FctawR7vUVLluyllKeNEM.jpg?alt=media&token=75471a38-d9c5-4373-82be-6c087bc88a8a,34.3742627,-117.7168549,IBA8Xo4glUzJzG6fG3Ef,notracetrails,paper,Llano,1.0,2023-04-29T01:02:52.001894Z,4/29/2023,370.0,29.60637564,Fragment,,,
"POINT (-117.7168415 34.3742657)",diwdJht7gtROWPni7rks,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FdiwdJht7gtROWPni7rks.jpg?alt=media&token=2279bf6c-b5d3-45d2-b660-630b95727ef6,34.3742657,-117.7168415,IBA8Xo4glUzJzG6fG3Ef,notracetrails,soft plastic,Llano,1.0,2023-04-29T01:02:41.942205Z,4/29/2023,370.0,30.80420341,Face Mask,,,
"POINT (-117.7168599 34.374259)",tID05j5AM64wGIqy5mnD,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FtID05j5AM64wGIqy5mnD.jpg?alt=media&token=c7183167-b1f8-4b2e-beca-19919268d398,34.374259,-117.7168599,IBA8Xo4glUzJzG6fG3Ef,notracetrails,sanitary waste,Llano,1.0,2023-04-29T01:02:14.599076Z,4/29/2023,370.0,29.18991705,Toilet Paper,,,
"POINT (-117.7168075 34.374265)",aaaXtg1XBOEq4yQPgcaN,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FaaaXtg1XBOEq4yQPgcaN.jpg?alt=media&token=50ab5c94-9cd6-43c0-ba38-049ad046de41,34.374265,-117.7168075,IBA8Xo4glUzJzG6fG3Ef,notracetrails,hard plastic,Llano,1.0,2023-04-29T01:01:47.470206Z,4/29/2023,370.0,33.92063057,Fragment,,,
